regime,weighting,seed,family,n_train,n_val,n_test,n_test_benign,n_test_malicious,bal_acc,precision,recall,f1,tn,fp,fn,tp,valid,invalid_reason,extractor_schema,split_schema,manifest_id,device
cnn_D_fdri_component_unique,PRIMARY_unique_payload,0,,55,84,1,1,0,,,,,,,,,False,test side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2,mps
cnn_D_fdri_component_unique,PRIMARY_unique_payload,1,,73,66,1,1,0,,,,,,,,,False,test side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2,mps
cnn_D_fdri_component_unique,PRIMARY_unique_payload,2,,128,9,3,1,2,0.5000,0.0000,0.0000,0.0000,1,0,2,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2,mps
cnn_D_fdri_component_unique,PRIMARY_unique_payload,3,,116,23,1,1,0,,,,,,,,,False,test side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2,mps
cnn_D_fdri_component_unique,PRIMARY_unique_payload,4,,129,3,8,2,6,,,,,,,,,False,val side is single-class (3 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,0,BUS/DISPLAY,109,27,4,3,1,0.5000,0.0000,0.0000,0.0000,3,0,1,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,0,COMMS,130,1,9,3,6,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,0,CRYPTO,69,2,69,8,61,0.5348,0.8929,0.8197,0.8547,2,6,11,50,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,0,ITC99,85,4,51,17,34,0.5000,0.6667,1.0000,0.8000,0,17,0,34,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,0,MCU/CPU,136,1,3,1,2,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,1,BUS/DISPLAY,55,81,4,3,1,0.5000,0.0000,0.0000,0.0000,3,0,1,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,1,COMMS,130,1,9,3,6,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,1,CRYPTO,70,1,69,8,61,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,1,ITC99,21,68,51,17,34,0.4265,0.6304,0.8529,0.7250,0,17,5,29,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,1,MCU/CPU,136,1,3,1,2,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,2,BUS/DISPLAY,132,4,4,3,1,0.3333,0.0000,0.0000,0.0000,2,1,1,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,2,COMMS,123,8,9,3,6,0.3333,0.0000,0.0000,0.0000,2,1,6,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,2,CRYPTO,52,19,69,8,61,0.5164,1.0000,0.0328,0.0635,8,0,59,2,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,2,ITC99,81,8,51,17,34,0.5000,0.6667,1.0000,0.8000,0,17,0,34,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,2,MCU/CPU,130,7,3,1,2,0.5000,0.0000,0.0000,0.0000,1,0,2,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,3,BUS/DISPLAY,121,15,4,3,1,0.5000,0.0000,0.0000,0.0000,3,0,1,0,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,3,COMMS,130,1,9,3,6,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,3,CRYPTO,51,20,69,8,61,0.5266,0.8909,0.8033,0.8448,2,6,12,49,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,3,ITC99,84,5,51,17,34,0.5000,0.6667,1.0000,0.8000,0,17,0,34,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,3,MCU/CPU,136,1,3,1,2,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,4,BUS/DISPLAY,116,20,4,3,1,0.6667,0.3333,1.0000,0.5000,1,2,0,1,True,,fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,4,COMMS,130,1,9,3,6,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,4,CRYPTO,70,1,69,8,61,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,4,ITC99,87,2,51,17,34,,,,,,,,,False,val side is single-class (2 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
cnn_E_fdri_lofo_unique,PRIMARY_unique_payload,4,MCU/CPU,136,1,3,1,2,,,,,,,,,False,val side is single-class (1 B / 0 M),fdri_seq4096_v1+fdri_stat_278_v1,lofo_unique_payload_v1,e680fc728129d5d2,mps
