regime,weighting,model,seed,family,n_train_files,n_train_unique,n_test_files,n_test_unique,n_train_benign,n_train_malicious,n_test_benign,n_test_malicious,n_components_train,n_components_test,bal_acc,precision,recall,f1,tn,fp,fn,tp,valid,invalid_reason,threshold_policy,extractor_schema,split_schema,manifest_id
B_fdri_naive,diagnostic_file_weighted,RandomForest,0,,871,130,218,71,436,435,109,109,15,15,0.8532,0.8812,0.8165,0.8476,97,12,20,89,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,LogisticRegression,0,,871,130,218,71,436,435,109,109,15,15,0.8211,0.7612,0.9358,0.8395,77,32,7,102,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,RandomForest,1,,871,129,218,67,436,435,109,109,15,15,0.8394,0.8936,0.7706,0.8276,99,10,25,84,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,LogisticRegression,1,,871,129,218,67,436,435,109,109,15,15,0.8394,0.7761,0.9541,0.8560,79,30,5,104,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,RandomForest,2,,871,133,218,64,436,435,109,109,15,15,0.8624,0.9158,0.7982,0.8529,101,8,22,87,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,LogisticRegression,2,,871,133,218,64,436,435,109,109,15,15,0.8165,0.7949,0.8532,0.8230,85,24,16,93,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,RandomForest,3,,871,130,218,60,436,435,109,109,15,14,0.8119,0.7656,0.8991,0.8270,79,30,11,98,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,LogisticRegression,3,,871,130,218,60,436,435,109,109,15,14,0.7982,0.7305,0.9450,0.8240,71,38,6,103,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,RandomForest,4,,871,128,218,68,436,435,109,109,15,15,0.8716,0.8140,0.9633,0.8824,85,24,4,105,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
B_fdri_naive,diagnostic_file_weighted,LogisticRegression,4,,871,128,218,68,436,435,109,109,15,15,0.8073,0.7519,0.9174,0.8264,76,33,9,100,True,,model.predict() default 0.5,fdri_stat_278_v1,naive_per_file_v1_diagnostic,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,RandomForest,0,,665,120,255,20,415,250,130,125,13,2,0.5169,0.5000,0.8800,0.6377,20,110,15,110,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,LogisticRegression,0,,665,120,255,20,415,250,130,125,13,2,0.5169,0.5000,0.8800,0.6377,20,110,15,110,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,RandomForest,1,,601,56,319,84,385,216,160,159,12,3,0.5000,0.0000,0.0000,0.0000,160,0,159,0,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,LogisticRegression,1,,601,56,319,84,385,216,160,159,12,3,0.4378,0.3000,0.0943,0.1435,125,35,144,15,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,RandomForest,2,,856,118,64,22,505,351,40,24,12,3,0.6875,0.4898,1.0000,0.6575,15,25,0,24,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,LogisticRegression,2,,856,118,64,22,505,351,40,24,12,3,0.8958,1.0000,0.7917,0.8837,40,0,5,19,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
C_fdri_component_aliases,secondary_file_weighted,RandomForest,3,,690,130,230,10,400,290,145,85,13,2,0.5000,0.0000,0.0000,0.0000,145,0,85,0,True,,model.predict() default 0.5,fdri_stat_278_v1,payload_component_v1,e680fc728129d5d2
