regime,seed,family,model,n_train,n_val,n_test,bal_acc,malicious_recall
naive,0,,HybridCNN,696,175,218,0.8899,0.7798
grouped,0,,HybridCNN,659,230,200,0.9000,0.9500
lofo,0,CRYPTO,HybridCNN,650,149,290,0.6000,0.8000
lofo,0,COMMS,HybridCNN,609,150,330,0.6970,0.3939
lofo,0,MCU/CPU,HybridCNN,759,290,40,0.5000,0.0000
lofo,0,BUS/DISPLAY,HybridCNN,859,190,40,0.5000,0.5000
lofo,0,ITC99,HybridCNN,650,150,289,0.7377,0.9306
lofo,0,ISCAS89,HybridCNN,799,190,100,0.5000,1.0000
naive,1,,HybridCNN,696,175,218,0.8624,0.7339
grouped,1,,HybridCNN,569,200,320,0.8594,0.7188
lofo,1,CRYPTO,HybridCNN,569,230,290,0.5103,0.1034
lofo,1,COMMS,HybridCNN,620,139,330,0.5152,0.0303
lofo,1,MCU/CPU,HybridCNN,849,200,40,0.5000,0.0000
lofo,1,BUS/DISPLAY,HybridCNN,839,210,40,0.5000,0.5000
lofo,1,ITC99,HybridCNN,630,170,289,0.4970,0.1319
lofo,1,ISCAS89,HybridCNN,689,300,100,0.5000,1.0000
naive,2,,HybridCNN,696,175,218,0.8899,0.8440
grouped,2,,HybridCNN,479,300,310,0.6935,0.8387
lofo,2,CRYPTO,HybridCNN,549,250,290,0.4793,0.5172
lofo,2,COMMS,HybridCNN,620,139,330,0.5152,0.0303
lofo,2,MCU/CPU,HybridCNN,850,199,40,0.5000,0.0000
lofo,2,BUS/DISPLAY,HybridCNN,739,310,40,0.6250,0.2500
lofo,2,ITC99,HybridCNN,630,170,289,0.5137,0.9861
lofo,2,ISCAS89,HybridCNN,679,310,100,0.5000,1.0000
naive,3,,HybridCNN,696,175,218,0.9083,0.8165
grouped,3,,HybridCNN,630,199,260,0.9038,0.8077
lofo,3,CRYPTO,HybridCNN,559,240,290,0.8621,0.9241
lofo,3,COMMS,HybridCNN,680,79,330,0.6970,0.3939
lofo,3,MCU/CPU,HybridCNN,860,189,40,0.5000,0.0000
lofo,3,BUS/DISPLAY,HybridCNN,950,99,40,0.6250,0.2500
lofo,3,ITC99,HybridCNN,670,130,289,0.6343,0.9375
lofo,3,ISCAS89,HybridCNN,680,309,100,0.5000,1.0000
naive,4,,HybridCNN,696,175,218,0.9266,0.8532
grouped,4,,HybridCNN,669,90,330,0.9091,0.9091
lofo,4,CRYPTO,HybridCNN,650,149,290,0.6862,0.9655
lofo,4,COMMS,HybridCNN,650,109,330,0.5152,0.0303
lofo,4,MCU/CPU,HybridCNN,739,310,40,0.5000,0.0000
lofo,4,BUS/DISPLAY,HybridCNN,849,200,40,0.5000,0.7500
lofo,4,ITC99,HybridCNN,630,170,289,0.5276,1.0000
lofo,4,ISCAS89,HybridCNN,869,120,100,0.5000,1.0000
