regime,seed,family,model,n_train,n_test,bal_acc,malicious_recall
naive,0,,RandomForest,871,218,0.8761,0.8807
naive,0,,LogisticRegression,871,218,0.8578,0.8165
grouped,0,,RandomForest,889,200,0.9400,0.9900
grouped,0,,LogisticRegression,889,200,0.9250,0.9500
lofo,0,CRYPTO,RandomForest,799,290,0.5103,0.0207
lofo,0,CRYPTO,LogisticRegression,799,290,0.5000,0.8621
lofo,0,COMMS,RandomForest,759,330,0.5000,0.7576
lofo,0,COMMS,LogisticRegression,759,330,0.8788,0.7576
lofo,0,MCU/CPU,RandomForest,1049,40,0.3250,0.6500
lofo,0,MCU/CPU,LogisticRegression,1049,40,0.5000,1.0000
lofo,0,BUS/DISPLAY,RandomForest,1049,40,0.5000,1.0000
lofo,0,BUS/DISPLAY,LogisticRegression,1049,40,0.6250,0.5000
lofo,0,ITC99,RandomForest,800,289,0.5000,1.0000
lofo,0,ITC99,LogisticRegression,800,289,0.5000,1.0000
lofo,0,ISCAS89,RandomForest,989,100,0.5000,1.0000
lofo,0,ISCAS89,LogisticRegression,989,100,0.5000,0.7000
naive,1,,RandomForest,871,218,0.8670,0.8532
naive,1,,LogisticRegression,871,218,0.8624,0.8624
grouped,1,,RandomForest,769,320,0.8781,0.8938
grouped,1,,LogisticRegression,769,320,0.8656,0.9187
lofo,1,CRYPTO,RandomForest,799,290,0.5103,0.0207
lofo,1,CRYPTO,LogisticRegression,799,290,0.5000,0.8621
lofo,1,COMMS,RandomForest,759,330,0.5000,0.7576
lofo,1,COMMS,LogisticRegression,759,330,0.8788,0.7576
lofo,1,MCU/CPU,RandomForest,1049,40,0.1250,0.2500
lofo,1,MCU/CPU,LogisticRegression,1049,40,0.5000,1.0000
lofo,1,BUS/DISPLAY,RandomForest,1049,40,0.5000,1.0000
lofo,1,BUS/DISPLAY,LogisticRegression,1049,40,0.6250,0.5000
lofo,1,ITC99,RandomForest,800,289,0.5000,1.0000
lofo,1,ITC99,LogisticRegression,800,289,0.5000,1.0000
lofo,1,ISCAS89,RandomForest,989,100,0.5000,1.0000
lofo,1,ISCAS89,LogisticRegression,989,100,0.5000,0.7000
naive,2,,RandomForest,871,218,0.8761,0.8440
naive,2,,LogisticRegression,871,218,0.8716,0.8349
grouped,2,,RandomForest,779,310,0.8806,0.8516
grouped,2,,LogisticRegression,779,310,0.8710,0.8710
lofo,2,CRYPTO,RandomForest,799,290,0.5000,0.0000
lofo,2,CRYPTO,LogisticRegression,799,290,0.5000,0.8621
lofo,2,COMMS,RandomForest,759,330,0.5000,0.7576
lofo,2,COMMS,LogisticRegression,759,330,0.8788,0.7576
lofo,2,MCU/CPU,RandomForest,1049,40,0.5500,0.7000
lofo,2,MCU/CPU,LogisticRegression,1049,40,0.5000,1.0000
lofo,2,BUS/DISPLAY,RandomForest,1049,40,0.5000,1.0000
lofo,2,BUS/DISPLAY,LogisticRegression,1049,40,0.6250,0.5000
lofo,2,ITC99,RandomForest,800,289,0.5000,1.0000
lofo,2,ITC99,LogisticRegression,800,289,0.5000,1.0000
lofo,2,ISCAS89,RandomForest,989,100,0.5000,1.0000
lofo,2,ISCAS89,LogisticRegression,989,100,0.5000,0.7000
naive,3,,RandomForest,871,218,0.8532,0.8991
naive,3,,LogisticRegression,871,218,0.9037,0.9174
grouped,3,,RandomForest,829,260,0.9731,0.9538
grouped,3,,LogisticRegression,829,260,0.9308,0.9385
lofo,3,CRYPTO,RandomForest,799,290,0.5034,0.0069
lofo,3,CRYPTO,LogisticRegression,799,290,0.5000,0.8621
lofo,3,COMMS,RandomForest,759,330,0.5000,0.7576
lofo,3,COMMS,LogisticRegression,759,330,0.8788,0.7576
lofo,3,MCU/CPU,RandomForest,1049,40,0.1000,0.2000
lofo,3,MCU/CPU,LogisticRegression,1049,40,0.5000,1.0000
lofo,3,BUS/DISPLAY,RandomForest,1049,40,0.5000,1.0000
lofo,3,BUS/DISPLAY,LogisticRegression,1049,40,0.6250,0.5000
lofo,3,ITC99,RandomForest,800,289,0.5000,1.0000
lofo,3,ITC99,LogisticRegression,800,289,0.5000,1.0000
lofo,3,ISCAS89,RandomForest,989,100,0.5000,1.0000
lofo,3,ISCAS89,LogisticRegression,989,100,0.5000,0.7000
naive,4,,RandomForest,871,218,0.8807,0.9450
naive,4,,LogisticRegression,871,218,0.8899,0.9174
grouped,4,,RandomForest,759,330,0.9091,0.9030
grouped,4,,LogisticRegression,759,330,0.9030,0.9273
lofo,4,CRYPTO,RandomForest,799,290,0.5517,0.1034
lofo,4,CRYPTO,LogisticRegression,799,290,0.5000,0.8621
lofo,4,COMMS,RandomForest,759,330,0.5000,0.7576
lofo,4,COMMS,LogisticRegression,759,330,0.8788,0.7576
lofo,4,MCU/CPU,RandomForest,1049,40,0.5000,0.5000
lofo,4,MCU/CPU,LogisticRegression,1049,40,0.5000,1.0000
lofo,4,BUS/DISPLAY,RandomForest,1049,40,0.5000,1.0000
lofo,4,BUS/DISPLAY,LogisticRegression,1049,40,0.6250,0.5000
lofo,4,ITC99,RandomForest,800,289,0.5000,1.0000
lofo,4,ITC99,LogisticRegression,800,289,0.5000,1.0000
lofo,4,ISCAS89,RandomForest,989,100,0.5000,1.0000
lofo,4,ISCAS89,LogisticRegression,989,100,0.5000,0.7000
